Date,Close*
2015-01-05,27842.32
2015-01-06,26987.46
2015-01-07,26908.82
2015-01-08,27274.71
2015-01-09,27458.38
2015-01-12,27585.27
2015-01-13,27425.73
2015-01-14,27346.82
2015-01-15,28075.55
2015-01-16,28121.89
2015-01-19,28262.01
2015-01-20,28784.67
2015-01-21,28888.86
2015-01-22,29006.02
2015-01-23,29278.84
2015-01-23,29278.84
2015-01-27,29571.04
2015-01-28,29559.18
2015-01-29,29681.77
2015-01-30,29182.95
2015-02-02,29122.27
2015-02-03,29000.14
2015-02-04,28883.11
2015-02-05,28850.97
2015-02-06,28717.91
2015-02-09,28227.39
2015-02-10,28355.62
2015-02-11,28533.97
2015-02-12,28805.1
2015-02-13,29094.93
2015-02-16,29135.88
2015-02-16,29135.88
2015-02-18,29320.26
2015-02-19,29462.27
2015-02-20,29231.41
2015-02-23,28975.11
2015-02-24,29004.66
2015-02-25,29007.99
2015-02-26,28746.65
2015-02-27,29220.12
2015-03-02,29459.14
2015-03-03,29593.73
2015-03-04,29380.73
2015-03-05,29448.95
2015-03-05,29448.95
2015-03-09,28844.78
2015-03-10,28709.87
2015-03-11,28659.17
2015-03-12,28930.41
2015-03-13,28503.3
2015-03-16,28437.71
2015-03-17,28736.38
2015-03-18,28622.12
2015-03-19,28469.67
2015-03-20,28261.08
2015-03-23,28192.02
2015-03-24,28161.72
2015-03-25,28111.83
2015-03-26,27457.58
2015-03-27,27458.64
2015-03-30,27975.86
2015-03-31,27957.49
2015-04-01,28260.14
2015-04-01,28260.14
2015-04-01,28260.14
2015-04-06,28504.46
2015-04-07,28516.59
2015-04-08,28707.75
2015-04-09,28885.21
2015-04-10,28879.38
2015-04-13,29044.44
2015-04-13,29044.44
2015-04-15,28799.69
2015-04-16,28666.04
2015-04-17,28442.1
2015-04-20,27886.21
2015-04-21,27676.04
2015-04-22,27890.13
2015-04-23,27735.02
2015-04-24,27437.94
2015-04-27,27176.99
2015-04-28,27396.38
2015-04-29,27225.93
2015-04-30,27011.31
2015-04-30,27011.31
2015-05-04,27490.59
2015-05-05,27440.14
2015-05-06,26717.37
2015-05-07,26599.11
2015-05-08,27105.39
2015-05-11,27507.3
2015-05-12,26877.48
2015-05-13,27251.1
2015-05-14,27206.06
2015-05-15,27324.0
2015-05-18,27687.3
2015-05-19,27645.53
2015-05-20,27837.21
2015-05-21,27809.35
2015-05-22,27957.5
2015-05-25,27643.88
2015-05-26,27531.41
2015-05-27,27564.66
2015-05-28,27506.71
2015-05-29,27828.44
2015-06-01,27848.99
2015-06-02,27188.38
2015-06-03,26837.2
2015-06-04,26813.42
2015-06-05,26768.49
2015-06-08,26523.09
2015-06-09,26481.25
2015-06-10,26840.5
2015-06-11,26370.98
2015-06-12,26425.3
2015-06-15,26586.55
2015-06-16,26686.51
2015-06-17,26832.66
2015-06-18,27115.83
2015-06-19,27316.17
2015-06-22,27730.21
2015-06-23,27804.37
2015-06-24,27729.67
2015-06-25,27895.97
2015-06-26,27811.84
2015-06-29,27645.15
2015-06-30,27780.83
2015-07-01,28020.87
2015-07-02,27945.8
2015-07-03,28092.79
2015-07-06,28208.76
2015-07-07,28171.69
2015-07-08,27687.72
2015-07-09,27573.66
2015-07-10,27661.4
2015-07-13,27961.19
2015-07-14,27932.9
2015-07-15,28198.29
2015-07-16,28446.12
2015-07-17,28463.31
2015-07-20,28420.12
2015-07-21,28182.14
2015-07-22,28504.93
2015-07-23,28370.84
2015-07-24,28112.31
2015-07-27,27561.38
2015-07-28,27459.23
2015-07-29,27563.43
2015-07-30,27705.35
2015-07-31,28114.56
2015-08-03,28187.06
2015-08-04,28071.93
2015-08-05,28223.08
2015-08-06,28298.13
2015-08-07,28236.39
2015-08-10,28101.72
2015-08-11,27866.09
2015-08-12,27512.26
2015-08-13,27549.53
2015-08-14,28067.31
2015-08-17,27878.27
2015-08-18,27831.54
2015-08-19,27931.64
2015-08-20,27607.82
2015-08-21,27366.07
2015-08-24,25741.56
2015-08-25,26032.38
2015-08-26,25714.66
2015-08-27,26231.19
2015-08-28,26392.38
2015-08-31,26283.09
2015-09-01,25696.44
2015-09-02,25453.56
2015-09-03,25764.78
2015-09-04,25201.9
2015-09-07,24893.81
2015-09-08,25317.87
2015-09-09,25719.58
2015-09-10,25622.17
2015-09-11,25610.21
2015-09-14,25856.7
2015-09-15,25705.93
2015-09-16,25963.97
2015-09-16,25963.97
2015-09-18,26218.91
2015-09-21,26192.98
2015-09-22,25651.84
2015-09-23,25822.99
2015-09-24,25863.5
2015-09-24,25863.5
2015-09-28,25616.84
2015-09-29,25778.66
2015-09-30,26154.83
2015-10-01,26220.95
2015-10-01,26220.95
2015-10-05,26785.55
2015-10-06,26932.88
2015-10-07,27035.85
2015-10-08,26845.81
2015-10-09,27079.51
2015-10-12,26904.11
2015-10-13,26846.53
2015-10-14,26779.66
2015-10-15,27010.14
2015-10-16,27214.6
2015-10-19,27364.92
2015-10-20,27306.83
2015-10-21,27287.66
2015-10-21,27287.66
2015-10-23,27470.81
2015-10-26,27361.96
2015-10-27,27253.44
2015-10-28,27039.76
2015-10-29,26838.14
2015-10-30,26656.83
2015-11-02,26559.15
2015-11-03,26590.59
2015-11-04,26552.92
2015-11-05,26304.2
2015-11-06,26265.24
2015-11-09,26121.4
2015-11-10,25743.26
2015-11-10,25743.26
2015-11-10,25743.26
2015-11-13,25610.53
2015-11-16,25760.1
2015-11-17,25864.47
2015-11-18,25482.52
2015-11-19,25841.92
2015-11-20,25868.49
2015-11-23,25819.34
2015-11-24,25775.74
2015-11-24,25775.74
2015-11-26,25958.63
